Date,Open,High,Low,Close,Adj Close,Volume
2020-06-27,0.025061,0.025250,0.024442,0.024649,0.024649,764852
2020-06-28,0.024644,0.024875,0.024363,0.024645,0.024645,678719
2020-06-29,0.024647,0.024968,0.024487,0.024828,0.024828,731832
2020-06-30,0.024804,0.025010,0.024734,0.024766,0.024766,666896
2020-07-01,0.024747,0.025102,0.024666,0.025044,0.025044,700424
2020-07-02,0.025063,0.025075,0.024923,0.025143,0.025143,680909
2020-07-03,0.025135,0.025083,0.024828,0.024802,0.024802,562217
2020-07-04,0.024792,0.025110,0.024790,0.025083,0.025083,572496
2020-07-05,0.025073,0.025157,0.024993,0.025090,0.025090,583227
2020-07-06,0.025092,0.025826,0.025047,0.025760,0.025760,936797
2020-07-07,0.025702,0.025935,0.025285,0.025840,0.025840,696207
2020-07-08,0.025849,0.026357,0.025768,0.026163,0.026163,1049240
2020-07-09,0.026171,0.026287,0.025954,0.026193,0.026193,908507
2020-07-10,0.026177,0.026219,0.025770,0.025972,0.025972,784731
2020-07-11,0.025978,0.025989,0.025907,0.025914,0.025914,610699
2020-07-12,0.025915,0.026125,0.025764,0.026102,0.026102,711087
2020-07-13,0.026107,0.026288,0.025800,0.025921,0.025921,842501
2020-07-14,0.025961,0.026126,0.025882,0.025988,0.025988,795985
2020-07-15,0.025981,0.026079,0.025842,0.025936,0.025936,673277
2020-07-16,0.025939,0.025990,0.025478,0.025584,0.025584,638624
2020-07-17,0.025590,0.025529,0.025526,0.025436,0.025436,640323
2020-07-18,0.025445,0.025712,0.025415,0.025711,0.025711,589298
2020-07-19,0.025708,0.025995,0.025612,0.025963,0.025963,680547
2020-07-20,0.025963,0.026030,0.025653,0.025769,0.025769,611146
2020-07-21,0.025785,0.026228,0.025746,0.026135,0.026135,726056
2020-07-22,0.026138,0.027674,0.026010,0.027526,0.027526,808586
2020-07-23,0.027546,0.029080,0.027519,0.028670,0.028670,1073085
2020-07-24,0.028673,0.029757,0.028379,0.029277,0.029277,992573
2020-07-25,0.029258,0.031670,0.029258,0.031420,0.031420,1114487
2020-07-26,0.031383,0.032483,0.031065,0.031261,0.031261,1211890
2020-07-27,0.031262,0.029317,0.031262,0.029253,0.029253,1423386
2020-07-28,0.029282,0.029106,0.028891,0.029017,0.029017,1132348
2020-07-29,0.029008,0.029391,0.028830,0.028665,0.028665,980035
2020-07-30,0.028661,0.030386,0.028746,0.030113,0.030113,1064482
2020-07-31,0.030117,0.030611,0.029972,0.030517,0.030517,1062449
2020-08-01,0.030538,0.033027,0.030558,0.032756,0.032756,1194366
2020-08-02,0.032786,0.034295,0.032267,0.033534,0.033534,1710730
2020-08-03,0.033576,0.034716,0.033455,0.034348,0.034348,1141228
2020-08-04,0.034336,0.035194,0.034443,0.034792,0.034792,1257080
2020-08-05,0.034777,0.034519,0.034613,0.034187,0.034187,1096062
2020-08-06,0.034186,0.034240,0.033405,0.033529,0.033529,959664
2020-08-07,0.033551,0.033505,0.032251,0.032712,0.032712,1099144
2020-08-08,0.032716,0.033519,0.032597,0.033519,0.033519,794795
2020-08-09,0.033631,0.033874,0.033272,0.033499,0.033499,809462
2020-08-10,0.033492,0.033175,0.033492,0.033329,0.033329,983812
2020-08-11,0.033330,0.033476,0.032942,0.033336,0.033336,1121089
2020-08-12,0.033308,0.033778,0.032621,0.033753,0.033753,1071113
2020-08-13,0.033737,0.036814,0.033449,0.036383,0.036383,1568236
2020-08-14,0.036377,0.037619,0.036091,0.037166,0.037166,1280037
2020-08-15,0.037180,0.037055,0.035992,0.036522,0.036522,1046383
2020-08-16,0.036521,0.036751,0.035317,0.036475,0.036475,1023208
